epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.47217968106269836,0.74725741147995,0.526190459728241,0.5796046853065491,9.999999747378752e-05
2,0.5926493406295776,0.575066089630127,0.6523809432983398,0.4798625111579895,9.999999747378752e-05
3,0.6329759955406189,0.4889830946922302,0.5761904716491699,0.522728681564331,9.999999747378752e-05
4,0.6339969635009766,0.4786534607410431,0.5833333134651184,0.5292277932167053,9.999999747378752e-05
5,0.6676875948905945,0.4263758063316345,0.6238095164299011,0.491214781999588,9.999999747378752e-05
6,0.6804491877555847,0.4045258164405823,0.6119047403335571,0.4927970767021179,9.999999747378752e-05
7,0.6967840790748596,0.3649038076400757,0.5785714387893677,0.508154571056366,4.999999873689376e-05
8,0.6911689639091492,0.3653220534324646,0.5523809790611267,0.5204125642776489,4.999999873689376e-05
9,0.7131189107894897,0.33597826957702637,0.5857142806053162,0.4923112392425537,4.999999873689376e-05
10,0.7182235717773438,0.3456716537475586,0.6071428656578064,0.5076351165771484,4.999999873689376e-05
