epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.5171005725860596,0.7000904679298401,0.49761903285980225,0.5304781198501587,9.999999747378752e-05
2,0.5880551338195801,0.55409836769104,0.5833333134651184,0.5078184008598328,9.999999747378752e-05
3,0.6207248568534851,0.48921966552734375,0.6761904954910278,0.4228362441062927,9.999999747378752e-05
4,0.6528841257095337,0.4276263117790222,0.6285714507102966,0.45742711424827576,9.999999747378752e-05
5,0.6605411171913147,0.42101553082466125,0.5904762148857117,0.5154320597648621,9.999999747378752e-05
6,0.6824910640716553,0.38503098487854004,0.6285714507102966,0.4425765573978424,9.999999747378752e-05
7,0.6927003860473633,0.34087690711021423,0.6404761672019958,0.4279170036315918,9.999999747378752e-05
8,0.716181755065918,0.3386155366897583,0.6666666865348816,0.3953145444393158,4.999999873689376e-05
9,0.6921898722648621,0.3426929712295532,0.6309523582458496,0.40159451961517334,4.999999873689376e-05
10,0.7289433479309082,0.29476213455200195,0.6476190686225891,0.41170257329940796,4.999999873689376e-05
