epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.4599285423755646,0.8339484333992004,0.4285714328289032,0.7607700824737549,9.999999747378752e-05
2,0.5793772339820862,0.6081511378288269,0.5976190567016602,0.5344193577766418,9.999999747378752e-05
3,0.6059213876724243,0.5339673757553101,0.6142857074737549,0.4291721284389496,9.999999747378752e-05
4,0.6288923025131226,0.4991438090801239,0.6690475940704346,0.4145476520061493,9.999999747378752e-05
5,0.6559469103813171,0.43144798278808594,0.6571428775787354,0.4431900084018707,9.999999747378752e-05
6,0.6666666865348816,0.4198562204837799,0.6190476417541504,0.4762987494468689,9.999999747378752e-05
7,0.6881061792373657,0.374398410320282,0.6452381014823914,0.4250377416610718,9.999999747378752e-05
8,0.700867772102356,0.37413233518600464,0.699999988079071,0.38003629446029663,9.999999747378752e-05
9,0.6916794180870056,0.38569313287734985,0.6738095283508301,0.40204668045043945,9.999999747378752e-05
10,0.7212863564491272,0.3293449580669403,0.6238095164299011,0.4245656430721283,9.999999747378752e-05
