epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.45839715003967285,0.7840133905410767,0.5857142806053162,0.6225500106811523,9.999999747378752e-05
2,0.5778458118438721,0.5871101021766663,0.5928571224212646,0.5676568746566772,9.999999747378752e-05
3,0.6156201958656311,0.48174849152565,0.6071428656578064,0.5310612916946411,9.999999747378752e-05
4,0.6416538953781128,0.4627145826816559,0.6404761672019958,0.49970558285713196,9.999999747378752e-05
5,0.6784073710441589,0.41715630888938904,0.6523809432983398,0.4908802807331085,9.999999747378752e-05
6,0.6819806098937988,0.394207239151001,0.6595237851142883,0.4366016685962677,9.999999747378752e-05
7,0.6901480555534363,0.364057332277298,0.6142857074737549,0.4915132522583008,9.999999747378752e-05
8,0.7151607871055603,0.36447030305862427,0.6261904835700989,0.5229039788246155,9.999999747378752e-05
9,0.7217968106269836,0.35322704911231995,0.6166666746139526,0.47785499691963196,9.999999747378752e-05
10,0.7105666399002075,0.34435775876045227,0.6214285492897034,0.5133715867996216,9.999999747378752e-05
