epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.44104135036468506,0.8151997327804565,0.49047619104385376,0.6563040018081665,9.999999747378752e-05
2,0.5467075109481812,0.5994351506233215,0.6738095283508301,0.4234296381473541,9.999999747378752e-05
3,0.621745765209198,0.5050281286239624,0.6809523701667786,0.44649651646614075,9.999999747378752e-05
4,0.6467585563659668,0.4509624242782593,0.6714285612106323,0.43093666434288025,9.999999747378752e-05
5,0.6559469103813171,0.4342923164367676,0.6357142925262451,0.4530286192893982,9.999999747378752e-05
6,0.6860643029212952,0.4115879237651825,0.6023809313774109,0.5100685954093933,9.999999747378752e-05
7,0.6778968572616577,0.3991331160068512,0.6261904835700989,0.46354353427886963,4.999999873689376e-05
8,0.6978049874305725,0.36668089032173157,0.6357142925262451,0.4830171465873718,4.999999873689376e-05
9,0.7049515247344971,0.34403935074806213,0.6428571343421936,0.43865901231765747,4.999999873689376e-05
10,0.7039305567741394,0.33243584632873535,0.6404761672019958,0.45712199807167053,4.999999873689376e-05
